epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6592,1.45943,4.12693,0.51445,0.77605,0.76666,0.79454,0.44355,0.54804,0.68077,0.10326,0.000650407,0.000650407,0.000650407
2,40.5631,0.81568,0.58529,0.0945,0.80814,0.52187,0.53803,0.29715,1.25795,0.36616,0.39368,0.00130403,0.00130403,0.00130403
3,58.6829,0.84181,0.49669,0.13215,0.79493,0.83186,0.84248,0.43596,0.5775,0.50438,0.06715,0.00194446,0.00194446,0.00194446
4,76.7635,0.72619,0.53176,0.08116,0.67872,0.84127,0.79723,0.40318,0.53657,0.55461,0.04625,0.0019406,0.0019406,0.0019406
5,94.8319,0.70742,0.69108,0.06354,0.70683,0.64602,0.70267,0.33378,0.52739,0.76926,0.04895,0.0019208,0.0019208,0.0019208
6,112.843,0.6432,0.58124,0.06108,0.77351,0.76106,0.78283,0.44264,0.48604,0.66015,0.046,0.001901,0.001901,0.001901
7,130.859,0.6118,0.60655,0.05521,0.55537,0.79646,0.6498,0.41825,0.40705,0.64226,0.03176,0.0018812,0.0018812,0.0018812
8,148.91,0.60123,0.60022,0.04437,0.73965,0.82301,0.76774,0.36018,0.56307,0.53958,0.0349,0.0018614,0.0018614,0.0018614
9,166.952,0.6421,0.5705,0.04062,0.80469,0.83861,0.84423,0.386,0.55942,0.52867,0.03603,0.0018416,0.0018416,0.0018416
10,184.993,0.58209,0.53497,0.04377,0.78476,0.83186,0.84437,0.4715,0.50922,0.54168,0.03114,0.0018218,0.0018218,0.0018218
11,204.918,0.60656,0.53074,0.0537,0.84532,0.84071,0.90539,0.53753,0.44551,0.50391,0.04361,0.001802,0.001802,0.001802
12,224.696,0.60999,0.53914,0.04917,0.77699,0.84956,0.88643,0.54787,0.40151,0.53586,0.03046,0.0017822,0.0017822,0.0017822
13,244.607,0.52782,0.50335,0.03448,0.86376,0.85841,0.92716,0.55173,0.41716,0.47576,0.03245,0.0017624,0.0017624,0.0017624
14,264.397,0.60427,0.48487,0.05527,0.87481,0.86575,0.91034,0.43479,0.53503,0.52556,0.03242,0.0017426,0.0017426,0.0017426
15,282.461,0.60085,0.48428,0.06379,0.89696,0.84742,0.92709,0.46715,0.53006,0.46284,0.04732,0.0017228,0.0017228,0.0017228
16,300.503,0.56751,0.53176,0.04684,0.67945,0.86726,0.83453,0.48497,0.44506,0.60002,0.03605,0.001703,0.001703,0.001703
17,318.558,0.54608,0.56525,0.04576,0.78143,0.85427,0.862,0.47783,0.48916,0.52192,0.04152,0.0016832,0.0016832,0.0016832
18,336.633,0.56313,0.55438,0.04406,0.79497,0.92035,0.89974,0.5115,0.47344,0.49292,0.03972,0.0016634,0.0016634,0.0016634
19,354.653,0.51121,0.49991,0.03917,0.88662,0.86726,0.94108,0.51724,0.46671,0.50248,0.04551,0.0016436,0.0016436,0.0016436
20,372.726,0.5107,0.50847,0.03185,0.81329,0.83186,0.87419,0.53095,0.42056,0.5246,0.03758,0.0016238,0.0016238,0.0016238
21,390.816,0.50326,0.48048,0.03094,0.87253,0.9115,0.94731,0.60569,0.38453,0.49739,0.03429,0.001604,0.001604,0.001604
22,410.685,0.453,0.46902,0.03098,0.91697,0.90265,0.95464,0.61658,0.39101,0.43219,0.03072,0.0015842,0.0015842,0.0015842
23,430.506,0.45256,0.49619,0.03477,0.86196,0.9115,0.94383,0.62602,0.36321,0.45142,0.02918,0.0015644,0.0015644,0.0015644
24,450.406,0.48045,0.50733,0.03064,0.86333,0.89442,0.94376,0.52593,0.47939,0.46047,0.03213,0.0015446,0.0015446,0.0015446
25,468.491,0.52603,0.47435,0.03024,0.92464,0.86866,0.96105,0.60282,0.40793,0.44065,0.02766,0.0015248,0.0015248,0.0015248
26,486.537,0.47108,0.45133,0.0266,0.92817,0.9292,0.97647,0.63593,0.38138,0.43314,0.02648,0.001505,0.001505,0.001505
27,506.478,0.48862,0.44697,0.02753,0.87272,0.90265,0.94685,0.54267,0.45738,0.43779,0.03478,0.0014852,0.0014852,0.0014852
28,524.505,0.47566,0.46162,0.03332,0.88497,0.95316,0.98128,0.66749,0.3575,0.4164,0.02695,0.0014654,0.0014654,0.0014654
29,544.408,0.41651,0.44896,0.02651,0.82377,0.95143,0.94646,0.58022,0.40329,0.45099,0.02646,0.0014456,0.0014456,0.0014456
30,562.456,0.47316,0.43294,0.0262,0.92014,0.93805,0.98159,0.58635,0.41836,0.42968,0.02782,0.0014258,0.0014258,0.0014258
31,580.538,0.43469,0.42618,0.02902,0.94579,0.92634,0.97998,0.67846,0.34288,0.41322,0.02378,0.001406,0.001406,0.001406
32,600.412,0.39797,0.42077,0.02612,0.93105,0.95592,0.97925,0.68392,0.34552,0.39534,0.02485,0.0013862,0.0013862,0.0013862
33,620.297,0.37794,0.40891,0.02109,0.91103,0.9115,0.97707,0.68889,0.32146,0.40169,0.02199,0.0013664,0.0013664,0.0013664
34,640.137,0.40285,0.40255,0.02467,0.92296,0.95575,0.9805,0.6736,0.33383,0.42152,0.0238,0.0013466,0.0013466,0.0013466
35,658.241,0.41796,0.40518,0.02181,0.94159,0.95575,0.98618,0.6331,0.36492,0.42108,0.02333,0.0013268,0.0013268,0.0013268
36,676.288,0.42224,0.40128,0.02519,0.94885,0.98506,0.98279,0.6217,0.38594,0.41075,0.02577,0.001307,0.001307,0.001307
37,694.453,0.4421,0.40639,0.02507,0.93085,0.97345,0.97467,0.65393,0.35342,0.3931,0.02626,0.0012872,0.0012872,0.0012872
38,712.53,0.39347,0.39216,0.02467,0.96414,0.95175,0.98483,0.67342,0.34665,0.38057,0.02453,0.0012674,0.0012674,0.0012674
39,730.609,0.41942,0.41535,0.02052,0.92198,0.95575,0.98083,0.59427,0.4192,0.40978,0.02347,0.0012476,0.0012476,0.0012476
40,748.738,0.36298,0.38557,0.02156,0.91904,0.9823,0.98578,0.69266,0.32825,0.37947,0.02263,0.0012278,0.0012278,0.0012278
41,768.591,0.39321,0.39305,0.021,0.90296,0.98814,0.98024,0.69108,0.30681,0.37872,0.02188,0.001208,0.001208,0.001208
42,786.684,0.368,0.38042,0.02361,0.91789,0.98933,0.9824,0.68467,0.32526,0.38641,0.02537,0.0011882,0.0011882,0.0011882
43,804.767,0.37118,0.40307,0.01937,0.9322,0.97336,0.98474,0.66806,0.3357,0.40276,0.02247,0.0011684,0.0011684,0.0011684
44,822.802,0.35054,0.39026,0.01863,0.93947,0.9646,0.98556,0.68387,0.30918,0.39489,0.02073,0.0011486,0.0011486,0.0011486
45,840.931,0.3559,0.37952,0.01993,0.95547,0.94937,0.98548,0.70313,0.29896,0.37098,0.02126,0.0011288,0.0011288,0.0011288
46,860.81,0.35565,0.38988,0.02107,0.90081,0.99115,0.98431,0.65719,0.34925,0.4016,0.02241,0.001109,0.001109,0.001109
47,878.869,0.39796,0.38792,0.0298,0.92995,0.9469,0.9791,0.61197,0.392,0.39759,0.02453,0.0010892,0.0010892,0.0010892
48,896.963,0.38355,0.38887,0.02429,0.92575,0.99115,0.98535,0.68127,0.31398,0.37127,0.02087,0.0010694,0.0010694,0.0010694
49,915.015,0.3778,0.40084,0.02029,0.92899,0.97345,0.98157,0.67426,0.33795,0.39086,0.02306,0.0010496,0.0010496,0.0010496
50,933.111,0.38175,0.38871,0.02461,0.93894,0.93805,0.97967,0.68541,0.32237,0.38741,0.02343,0.0010298,0.0010298,0.0010298
51,951.205,0.40194,0.39975,0.02838,0.92412,0.97004,0.98331,0.71126,0.30927,0.37861,0.02193,0.00101,0.00101,0.00101
52,971.078,0.37726,0.40195,0.01822,0.92976,0.97345,0.98965,0.65342,0.37211,0.40422,0.02374,0.0009902,0.0009902,0.0009902
53,989.278,0.36732,0.38559,0.02022,0.94089,0.98614,0.99137,0.65576,0.35398,0.38553,0.0225,0.0009704,0.0009704,0.0009704
54,1007.58,0.35701,0.3786,0.01866,0.9671,0.97345,0.99298,0.70576,0.30863,0.36882,0.02209,0.0009506,0.0009506,0.0009506
55,1025.65,0.34788,0.37166,0.0192,0.96436,0.9823,0.99189,0.7071,0.31307,0.36976,0.02243,0.0009308,0.0009308,0.0009308
56,1043.7,0.356,0.38434,0.02183,0.95031,0.9823,0.99082,0.70721,0.30528,0.37221,0.02147,0.000911,0.000911,0.000911
57,1061.78,0.32697,0.37179,0.0195,0.94784,0.99115,0.99089,0.7236,0.29543,0.3621,0.02003,0.0008912,0.0008912,0.0008912
58,1081.63,0.35191,0.36702,0.02086,0.94736,0.9823,0.99213,0.70447,0.31714,0.37686,0.02238,0.0008714,0.0008714,0.0008714
59,1099.72,0.3312,0.37526,0.01909,0.94063,0.98154,0.97735,0.68236,0.335,0.38371,0.02257,0.0008516,0.0008516,0.0008516
60,1117.76,0.31664,0.36692,0.01872,0.97291,0.95357,0.99123,0.7235,0.29449,0.37754,0.02143,0.0008318,0.0008318,0.0008318
61,1135.89,0.31519,0.37233,0.0183,0.9724,0.9352,0.98256,0.68104,0.33287,0.39491,0.02632,0.000812,0.000812,0.000812
62,1153.93,0.35357,0.38516,0.01958,0.94108,0.98941,0.98969,0.71914,0.30378,0.37159,0.0214,0.0007922,0.0007922,0.0007922
63,1172.05,0.32176,0.37611,0.01814,0.92536,0.98737,0.98731,0.70267,0.31236,0.3708,0.02228,0.0007724,0.0007724,0.0007724
64,1190.12,0.34359,0.37277,0.01836,0.95611,0.96394,0.98868,0.68478,0.32084,0.37624,0.02382,0.0007526,0.0007526,0.0007526
65,1208.23,0.35825,0.38287,0.02117,0.95543,0.94846,0.98769,0.68784,0.3163,0.37529,0.02443,0.0007328,0.0007328,0.0007328
66,1226.27,0.35365,0.37815,0.02321,0.9178,0.98808,0.98838,0.6995,0.32142,0.37532,0.02492,0.000713,0.000713,0.000713
67,1244.36,0.34676,0.37901,0.01891,0.93248,0.97345,0.98836,0.70148,0.30418,0.37204,0.02374,0.0006932,0.0006932,0.0006932
68,1262.41,0.30666,0.36551,0.01766,0.94029,0.97546,0.9872,0.71279,0.29735,0.3788,0.0219,0.0006734,0.0006734,0.0006734
69,1280.52,0.3146,0.37618,0.01658,0.94855,0.97891,0.98656,0.69786,0.31107,0.37354,0.0227,0.0006536,0.0006536,0.0006536
70,1298.61,0.32096,0.36281,0.02003,0.95648,0.97246,0.98972,0.69707,0.30034,0.38219,0.02266,0.0006338,0.0006338,0.0006338
71,1316.96,0.30663,0.36971,0.02166,0.94277,0.9469,0.9842,0.67531,0.35759,0.40454,0.02375,0.000614,0.000614,0.000614
72,1335.15,0.33803,0.37816,0.0207,0.9729,0.95329,0.98843,0.70933,0.29923,0.37405,0.02105,0.0005942,0.0005942,0.0005942
73,1353.23,0.33889,0.37522,0.01764,0.97287,0.9522,0.99016,0.70562,0.31304,0.38666,0.02181,0.0005744,0.0005744,0.0005744
74,1371.31,0.32944,0.36365,0.01684,0.96327,0.95575,0.98837,0.69595,0.32002,0.37659,0.0208,0.0005546,0.0005546,0.0005546
75,1389.39,0.32122,0.36785,0.01901,0.96361,0.95575,0.98561,0.69946,0.31513,0.38127,0.02174,0.0005348,0.0005348,0.0005348
76,1407.51,0.29386,0.35986,0.01921,0.94313,0.9469,0.98423,0.72082,0.29805,0.37265,0.01955,0.000515,0.000515,0.000515
77,1425.62,0.32955,0.35723,0.02131,0.95574,0.9292,0.98477,0.72451,0.28805,0.36657,0.0197,0.0004952,0.0004952,0.0004952
78,1445.44,0.30927,0.36067,0.01613,0.94768,0.96172,0.98951,0.7095,0.30645,0.37805,0.02077,0.0004754,0.0004754,0.0004754
79,1463.58,0.30551,0.34943,0.01737,0.95469,0.93231,0.98128,0.72165,0.30549,0.37316,0.02149,0.0004556,0.0004556,0.0004556
80,1481.63,0.29042,0.34259,0.01574,0.95585,0.95796,0.98952,0.71734,0.29442,0.37785,0.02205,0.0004358,0.0004358,0.0004358
81,1499.75,0.27385,0.34491,0.01577,0.9651,0.93805,0.97471,0.70733,0.29972,0.39546,0.02246,0.000416,0.000416,0.000416
82,1517.83,0.27889,0.34789,0.01562,0.97198,0.9469,0.98274,0.7079,0.30191,0.38256,0.02163,0.0003962,0.0003962,0.0003962
83,1535.95,0.29415,0.34203,0.01991,0.94014,0.97285,0.97175,0.71364,0.28541,0.37812,0.01922,0.0003764,0.0003764,0.0003764
84,1554.03,0.29288,0.34055,0.01513,0.97245,0.93708,0.98134,0.71128,0.29469,0.38363,0.02062,0.0003566,0.0003566,0.0003566
85,1572.18,0.27691,0.33627,0.01741,0.91734,0.98215,0.98582,0.7101,0.31529,0.40109,0.02053,0.0003368,0.0003368,0.0003368
86,1590.22,0.30685,0.35411,0.01862,0.97227,0.95575,0.98674,0.71092,0.2924,0.39374,0.02016,0.000317,0.000317,0.000317
87,1608.34,0.27882,0.33959,0.01675,0.96362,0.95575,0.98766,0.72582,0.28983,0.39393,0.02038,0.0002972,0.0002972,0.0002972
88,1628.32,0.27425,0.34101,0.01541,0.95371,0.95575,0.97751,0.72358,0.29427,0.39247,0.02063,0.0002774,0.0002774,0.0002774
89,1646.48,0.26991,0.33068,0.01557,0.9444,0.97345,0.9881,0.71322,0.30527,0.38634,0.01974,0.0002576,0.0002576,0.0002576
90,1664.57,0.27447,0.33638,0.01464,0.94738,0.95596,0.98886,0.71948,0.28369,0.37587,0.01967,0.0002378,0.0002378,0.0002378
91,1683.45,0.24023,0.32708,0.01736,0.97315,0.9646,0.98701,0.71749,0.28783,0.38141,0.02002,0.000218,0.000218,0.000218
92,1701.53,0.22805,0.30979,0.01492,0.98176,0.9646,0.98455,0.71349,0.2909,0.37215,0.02015,0.0001982,0.0001982,0.0001982
93,1719.67,0.24015,0.31281,0.0177,0.96207,0.9646,0.98075,0.71936,0.28927,0.37536,0.02042,0.0001784,0.0001784,0.0001784
94,1737.78,0.22001,0.30629,0.01414,0.94902,0.98837,0.99023,0.72136,0.28957,0.38337,0.01941,0.0001586,0.0001586,0.0001586
95,1755.88,0.23038,0.31244,0.01433,0.96446,0.96061,0.98818,0.72374,0.29738,0.39416,0.01984,0.0001388,0.0001388,0.0001388
96,1773.99,0.22249,0.3043,0.01388,0.96275,0.95575,0.9881,0.73022,0.28509,0.38101,0.0187,0.000119,0.000119,0.000119
97,1793.86,0.22972,0.30599,0.01374,0.94768,0.99115,0.98767,0.71026,0.29305,0.37992,0.01979,9.92e-05,9.92e-05,9.92e-05
98,1811.97,0.21349,0.29852,0.01453,0.94544,0.99115,0.98784,0.71468,0.29519,0.38162,0.0202,7.94e-05,7.94e-05,7.94e-05
99,1830.05,0.2268,0.30503,0.01925,0.94789,0.99115,0.98764,0.71478,0.29627,0.38219,0.02001,5.96e-05,5.96e-05,5.96e-05
100,1848.16,0.22067,0.3084,0.01368,0.94693,0.99115,0.98817,0.716,0.28781,0.38486,0.01959,3.98e-05,3.98e-05,3.98e-05
