epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5196,0.28265,0.36408,0.02393,0.96948,0.96163,0.9867,0.7695,0.26064,0.34152,0.01811,0.000662447,0.000662447,0.000662447
2,132.173,0.31716,0.3879,0.0296,0.95144,0.94582,0.9774,0.7433,0.291,0.37769,0.02216,0.00119753,0.00119753,0.00119753
3,195.815,0.34074,0.39276,0.03234,0.91799,0.90966,0.95,0.67652,0.35461,0.39509,0.03169,0.00160062,0.00160062,0.00160062
4,259.722,0.30668,0.40169,0.02598,0.93493,0.92099,0.96775,0.73314,0.28214,0.43856,0.02359,0.001406,0.001406,0.001406
5,324.127,0.295,0.3746,0.02635,0.94407,0.93905,0.98424,0.77933,0.25204,0.33965,0.02478,0.001208,0.001208,0.001208
6,390.86,0.29904,0.38256,0.02671,0.96216,0.93679,0.98201,0.75444,0.27539,0.36704,0.02411,0.00101,0.00101,0.00101
7,455.766,0.28291,0.36716,0.02597,0.94963,0.9363,0.97774,0.74772,0.27206,0.35835,0.02348,0.000812,0.000812,0.000812
8,520.666,0.27665,0.34649,0.02687,0.96024,0.96614,0.989,0.79425,0.24468,0.32564,0.02585,0.000614,0.000614,0.000614
9,587.373,0.25417,0.33794,0.02079,0.97462,0.95348,0.98973,0.79769,0.23836,0.31972,0.02571,0.000416,0.000416,0.000416
10,654.062,0.23968,0.33711,0.01764,0.98003,0.95034,0.99083,0.80369,0.23226,0.31531,0.02097,0.000218,0.000218,0.000218
