epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5719,0.30441,0.39569,0.023,0.92828,0.96414,0.97988,0.7658,0.26292,0.34849,0.0207,0.000662447,0.000662447,0.000662447
2,131.402,0.32826,0.41164,0.02373,0.9466,0.80027,0.8338,0.66056,nan,nan,nan,0.00127648,0.00127648,0.00127648
3,195.02,0.33258,0.40838,0.02478,0.96044,0.95937,0.98696,0.75379,0.27537,0.37485,0.0211,0.00183771,0.00183771,0.00183771
4,258.791,0.33943,0.4151,0.02401,0.95961,0.93679,0.97508,0.7489,0.26627,0.36689,0.02283,0.0017624,0.0017624,0.0017624
5,322.876,0.35706,0.40788,0.02773,0.91269,0.93905,0.95969,0.74127,nan,nan,nan,0.0016832,0.0016832,0.0016832
6,389.636,0.33918,0.39466,0.02509,0.94512,0.81641,0.82613,0.66828,nan,nan,nan,0.001604,0.001604,0.001604
7,456.398,0.34573,0.38559,0.02682,0.95074,0.94357,0.98286,0.75145,0.26992,0.35756,0.02043,0.0015248,0.0015248,0.0015248
8,520.688,0.34895,0.39778,0.02828,0.92565,0.95485,0.97791,0.77633,0.2513,0.38985,0.01819,0.0014456,0.0014456,0.0014456
9,586.985,0.31594,0.37382,0.02472,0.92654,0.95937,0.97642,0.76037,0.26105,0.34519,0.01709,0.0013664,0.0013664,0.0013664
10,652.573,0.30526,0.36114,0.02317,0.95253,0.8781,0.90662,0.69002,nan,nan,nan,0.0012872,0.0012872,0.0012872
11,721.607,0.30142,0.36186,0.01982,0.93988,0.97968,0.98607,0.79509,0.23676,0.33719,0.01651,0.001208,0.001208,0.001208
12,792.429,0.29088,0.35032,0.01982,0.94431,0.96163,0.98419,0.79207,0.23023,0.3235,0.01621,0.0011288,0.0011288,0.0011288
13,857.521,0.28475,0.3552,0.02,0.94876,0.95034,0.98553,0.7719,0.24925,0.34733,0.02087,0.0010496,0.0010496,0.0010496
14,921.53,0.30899,0.38741,0.01998,0.94278,0.92978,0.96362,0.74626,nan,nan,nan,0.0009704,0.0009704,0.0009704
15,985.432,0.29995,0.37437,0.0208,0.95285,0.96388,0.98365,0.77951,0.24191,0.3316,0.01744,0.0008912,0.0008912,0.0008912
16,1050,0.25474,0.33685,0.02021,0.96506,0.9526,0.988,0.79841,0.23811,0.32858,0.01813,0.000812,0.000812,0.000812
17,1115.55,0.24876,0.34248,0.02102,0.95482,0.95711,0.98545,0.7774,0.25075,0.34918,0.01862,0.0007328,0.0007328,0.0007328
18,1179.42,0.25219,0.33624,0.02153,0.97068,0.96388,0.98848,0.79238,0.24027,0.32209,0.01705,0.0006536,0.0006536,0.0006536
19,1243.29,0.23807,0.32644,0.01793,0.96881,0.98148,0.99131,0.80966,0.22574,0.30806,0.02434,0.0005744,0.0005744,0.0005744
20,1308.97,0.23495,0.3273,0.01824,0.95963,0.96577,0.98909,0.79747,0.23162,0.32016,0.0185,0.0004952,0.0004952,0.0004952
21,1373,0.23163,0.31651,0.01761,0.95998,0.97458,0.98526,0.80153,0.2252,0.3112,0.01751,0.000416,0.000416,0.000416
22,1436.91,0.23511,0.32546,0.01898,0.92535,0.97939,0.98347,0.8052,0.22716,0.32016,0.01592,0.0003368,0.0003368,0.0003368
23,1500.72,0.22652,0.31213,0.01872,0.97509,0.97197,0.99035,0.81461,0.21574,0.30307,0.01545,0.0002576,0.0002576,0.0002576
24,1566.43,0.22272,0.31029,0.01903,0.96261,0.988,0.99322,0.82493,0.21409,0.29644,0.0151,0.0001784,0.0001784,0.0001784
25,1632.21,0.22065,0.30486,0.01995,0.96461,0.98453,0.99354,0.82342,0.21446,0.29362,0.0157,9.92e-05,9.92e-05,9.92e-05
