epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5176,2.37491,8.88362,1.39126,0.00021,0.0177,5e-05,1e-05,3.03266,8464.13,8.13406,0.000650407,0.000650407,0.000650407
2,29.4868,2.50327,6.91562,1.58081,0.00109,0.26549,0.00081,0.00029,3.17612,7.26088,4.4048,0.00131055,0.00131055,0.00131055
3,41.4074,2.5817,2.56896,1.73136,0.00111,0.02655,0.00055,0.00017,nan,nan,nan,0.0019641,0.0019641,0.0019641
4,52.2592,2.39697,2.03356,1.61895,0.1482,0.13274,0.05638,0.01723,2.70534,9.80934,1.78471,0.0019703,0.0019703,0.0019703
5,64.1982,2.40826,1.8723,1.55462,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,75.005,2.21977,1.65561,1.45196,0.40597,0.46903,0.36614,0.12595,2.29639,2.03176,1.50522,0.0019505,0.0019505,0.0019505
7,86.9257,2.23668,1.57934,1.41118,0.47594,0.25664,0.26367,0.11316,2.25922,2.1429,1.59832,0.0019406,0.0019406,0.0019406
8,97.7563,2.05851,1.5684,1.33044,0.40185,0.44248,0.32126,0.11382,2.29837,2.0123,1.52472,0.0019307,0.0019307,0.0019307
9,108.561,2.04113,1.47754,1.32278,0.48778,0.45133,0.37548,0.15005,2.22007,1.83934,1.4254,0.0019208,0.0019208,0.0019208
10,120.464,1.98599,1.38166,1.32464,0.48647,0.63717,0.55869,0.25434,1.86646,1.39881,1.26001,0.0019109,0.0019109,0.0019109
11,132.37,1.93741,1.39143,1.28573,0.58522,0.61183,0.60673,0.26713,1.8878,1.47778,1.29567,0.001901,0.001901,0.001901
12,144.28,1.81873,1.3472,1.23562,0.63995,0.68142,0.67857,0.30786,1.72853,1.18038,1.1693,0.0018911,0.0018911,0.0018911
13,156.243,1.74092,1.25479,1.17989,0.53608,0.70796,0.61768,0.29889,1.65139,1.2865,1.12757,0.0018812,0.0018812,0.0018812
