epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2896,2.119,10.4302,1.19579,0.00091,0.22124,0.10377,0.03465,1.85172,7.45403,1.15008,0.000650407,0.000650407,0.000650407
2,18.1894,2.0171,7.89201,1.21702,0.00127,0.30973,0.01097,0.0031,2.05121,7.36779,1.24824,0.00130403,0.00130403,0.00130403
3,21.555,1.957,5.95334,1.20863,0.46419,0.13039,0.37477,0.13155,1.90899,5.54022,1.24626,0.00194446,0.00194446,0.00194446
4,25.044,1.9203,5.30283,1.21245,0.47565,0.56637,0.46769,0.18868,1.82591,3.69657,1.25017,0.0019406,0.0019406,0.0019406
5,28.4985,1.92847,4.79256,1.18277,0.59585,0.61323,0.55926,0.24387,1.75181,2.3822,1.17817,0.0019208,0.0019208,0.0019208
6,31.9349,1.79176,3.71922,1.14989,0.6391,0.7679,0.74974,0.3571,1.69114,1.98866,1.18638,0.001901,0.001901,0.001901
7,35.3794,1.86499,3.40936,1.13714,0.64526,0.66372,0.66994,0.32913,1.60674,2.22174,1.1938,0.0018812,0.0018812,0.0018812
8,38.6441,1.739,3.02624,1.14406,0.66749,0.75221,0.74652,0.43019,1.5325,1.68355,1.10426,0.0018614,0.0018614,0.0018614
9,42.0478,1.65407,2.5674,1.09829,0.56225,0.64602,0.59314,0.29524,1.57824,1.8595,1.08661,0.0018416,0.0018416,0.0018416
10,45.3188,1.64347,2.57198,1.07273,0.70921,0.71226,0.75572,0.38137,1.4875,1.59662,1.06558,0.0018218,0.0018218,0.0018218
11,48.5971,1.69373,2.27283,1.10243,0.73954,0.70359,0.82263,0.41494,1.54016,1.3027,1.09306,0.001802,0.001802,0.001802
12,51.8775,1.59404,2.03236,1.09033,0.76498,0.69912,0.79718,0.42507,1.50032,1.08313,1.07251,0.0017822,0.0017822,0.0017822
