epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5504,2.37665,44.1335,1.42618,0.00364,0.43363,0.0027,0.00088,2.17358,inf,1.53516,0.000650407,0.000650407,0.000650407
2,20.4547,2.20397,5.60855,1.4081,0.39055,0.43363,0.37177,0.14186,2.30215,2.27575,1.69343,0.00130403,0.00130403,0.00130403
3,26.2447,2.5231,2.99321,1.61991,0.30464,0.0177,0.03551,0.00967,3.29611,4.34271,3.6733,0.00194446,0.00194446,0.00194446
4,31.662,2.58195,2.53822,1.63605,0.2508,0.14815,0.09717,0.02329,3.29929,4.76975,2.75386,0.0019406,0.0019406,0.0019406
5,36.9657,2.27207,1.95035,1.43801,0.43745,0.53097,0.41127,0.15299,2.15846,1.93912,1.40466,0.0019208,0.0019208,0.0019208
6,42.7699,2.17761,1.60597,1.36525,0.52252,0.38938,0.40148,0.16298,2.29203,1.88427,1.4768,0.001901,0.001901,0.001901
7,48.5807,2.11533,1.5516,1.32377,0.43568,0.45133,0.40067,0.14992,2.12403,2.11308,1.39796,0.0018812,0.0018812,0.0018812
8,53.8907,1.98898,1.51794,1.3117,0.57003,0.62832,0.63197,0.24122,2.13275,1.33732,1.27721,0.0018614,0.0018614,0.0018614
9,59.6964,1.91812,1.36318,1.24753,0.6009,0.62626,0.66556,0.26315,1.94331,1.25633,1.35,0.0018416,0.0018416,0.0018416
10,65.5183,1.84455,1.31994,1.25173,0.59267,0.49558,0.56974,0.24326,1.95683,1.41028,1.37616,0.0018218,0.0018218,0.0018218
11,70.8304,1.78936,1.28427,1.23345,0.73589,0.73974,0.75818,0.35506,1.71007,1.11621,1.19484,0.001802,0.001802,0.001802
12,76.6448,1.71918,1.2431,1.20684,0.58871,0.7727,0.71994,0.35338,1.66643,1.11284,1.20889,0.0017822,0.0017822,0.0017822
13,81.9412,1.65622,1.09722,1.14314,0.7819,0.77876,0.864,0.44937,1.61561,1.0911,1.12203,0.0017624,0.0017624,0.0017624
14,87.7522,1.67623,1.12126,1.1245,0.71572,0.67257,0.78271,0.35295,1.79427,1.29814,1.13318,0.0017426,0.0017426,0.0017426
15,93.0486,1.69855,1.14639,1.17254,0.58348,0.52212,0.57479,0.29152,1.71387,1.28493,1.25014,0.0017228,0.0017228,0.0017228
16,98.3558,1.60353,1.07472,1.14172,0.74815,0.64602,0.74549,0.36823,1.53681,1.04193,1.14841,0.001703,0.001703,0.001703
17,103.636,1.57516,1.06098,1.16699,0.78456,0.72566,0.82663,0.43791,1.45592,1.01722,1.12718,0.0016832,0.0016832,0.0016832
18,108.931,1.60264,1.05586,1.13496,0.8171,0.75115,0.86025,0.47275,1.43826,0.96145,1.08157,0.0016634,0.0016634,0.0016634
19,114.732,1.60796,1.06386,1.10965,0.63241,0.51768,0.54385,0.28716,1.69617,1.79055,1.22917,0.0016436,0.0016436,0.0016436
20,120.018,1.5664,1.04595,1.0785,0.79147,0.71681,0.84101,0.47331,1.39082,0.9595,1.05502,0.0016238,0.0016238,0.0016238
21,125.848,1.56114,1.02112,1.07387,0.75871,0.77913,0.83691,0.47522,1.43741,0.94246,1.05929,0.001604,0.001604,0.001604
22,131.679,1.49143,0.962,1.05084,0.72159,0.75692,0.82086,0.47652,1.43511,0.94274,1.06342,0.0015842,0.0015842,0.0015842
23,137.49,1.65187,1.07175,1.11109,0.77652,0.78761,0.87182,0.51501,1.30708,0.90268,1.03387,0.0015644,0.0015644,0.0015644
24,143.309,1.47633,1.03822,1.07267,0.76335,0.77072,0.84404,0.46034,1.41251,0.96425,1.03535,0.0015446,0.0015446,0.0015446
25,148.599,1.50018,0.99307,1.11055,0.80497,0.76991,0.84583,0.46329,1.44344,1.04798,1.06035,0.0015248,0.0015248,0.0015248
26,153.893,1.43104,0.93466,1.06156,0.8617,0.88221,0.94615,0.52248,1.355,0.89685,1.02368,0.001505,0.001505,0.001505
27,159.687,1.3995,0.90853,1.00684,0.87053,0.81416,0.90629,0.53662,1.29741,0.83245,1.00276,0.0014852,0.0014852,0.0014852
28,165.508,1.4055,0.92546,1.03022,0.80417,0.76106,0.86744,0.49506,1.3361,0.8319,1.06698,0.0014654,0.0014654,0.0014654
29,170.808,1.39628,0.94496,1.03524,0.81784,0.79462,0.88614,0.51578,1.37884,0.90029,1.04434,0.0014456,0.0014456,0.0014456
30,176.131,1.38973,0.92275,1.01562,0.85716,0.74336,0.86705,0.51758,1.2767,0.88493,1.02153,0.0014258,0.0014258,0.0014258
31,181.402,1.37675,0.9151,1.01375,0.93176,0.69912,0.90234,0.54854,1.31056,0.85569,1.00462,0.001406,0.001406,0.001406
32,187.279,1.3808,0.89552,1.01903,0.81516,0.78761,0.86984,0.50075,1.30747,0.8865,1.02158,0.0013862,0.0013862,0.0013862
33,192.696,1.35361,0.86662,0.98074,0.81655,0.79646,0.86934,0.50275,1.32605,0.85904,1.0238,0.0013664,0.0013664,0.0013664
34,198.04,1.27776,0.8345,0.9887,0.79346,0.81416,0.89885,0.52797,1.32166,0.8261,1.00099,0.0013466,0.0013466,0.0013466
35,203.392,1.27791,0.81399,0.97082,0.89354,0.74277,0.88073,0.53184,1.25388,0.8242,0.98955,0.0013268,0.0013268,0.0013268
36,208.72,1.37881,0.87202,0.99508,0.89088,0.79479,0.92462,0.52617,1.39228,0.82546,0.99042,0.001307,0.001307,0.001307
37,214.093,1.38068,0.88276,1.03228,0.85235,0.76991,0.89929,0.53592,1.22422,0.80378,1.00242,0.0012872,0.0012872,0.0012872
38,219.419,1.32442,0.85659,1.00783,0.8499,0.88496,0.92466,0.53289,1.25294,0.79232,0.99387,0.0012674,0.0012674,0.0012674
39,224.749,1.35262,0.84111,1.00404,0.81722,0.76106,0.88742,0.53996,1.24705,0.79511,0.99982,0.0012476,0.0012476,0.0012476
40,230.133,1.22976,0.80482,1.01475,0.88069,0.78387,0.91238,0.59028,1.16779,0.78102,0.99065,0.0012278,0.0012278,0.0012278
41,235.995,1.2896,0.78697,0.95568,0.84539,0.88496,0.92577,0.56796,1.17478,0.75891,0.97332,0.001208,0.001208,0.001208
42,241.306,1.30497,0.81666,0.98767,0.85597,0.84151,0.91731,0.56009,1.22259,0.75736,0.98018,0.0011882,0.0011882,0.0011882
43,246.62,1.27938,0.80277,0.94939,0.8705,0.77876,0.89527,0.51284,1.32726,0.81387,0.9847,0.0011684,0.0011684,0.0011684
44,251.96,1.30119,0.80847,0.97563,0.86291,0.80531,0.91546,0.53995,1.23921,0.81731,0.97986,0.0011486,0.0011486,0.0011486
45,257.338,1.25088,0.80684,0.94546,0.88126,0.78818,0.91191,0.57011,1.17931,0.77897,0.96426,0.0011288,0.0011288,0.0011288
46,262.672,1.29944,0.85154,0.97407,0.84261,0.80543,0.91318,0.53054,1.30308,0.80631,0.97878,0.001109,0.001109,0.001109
47,267.996,1.35829,0.83977,0.96353,0.78168,0.8872,0.91877,0.52544,1.30895,0.82116,0.97753,0.0010892,0.0010892,0.0010892
48,273.434,1.26287,0.79839,0.95193,0.86216,0.87611,0.94029,0.58102,1.16192,0.72247,0.95663,0.0010694,0.0010694,0.0010694
49,278.784,1.18719,0.74434,0.93205,0.83063,0.87611,0.91357,0.55854,1.2088,0.77902,0.95685,0.0010496,0.0010496,0.0010496
50,284.169,1.20862,0.74096,0.9409,0.76811,0.88496,0.90781,0.55864,1.20257,0.77054,0.9485,0.0010298,0.0010298,0.0010298
51,289.546,1.21667,0.76448,0.96717,0.88167,0.85719,0.93484,0.593,1.19188,0.71837,0.94585,0.00101,0.00101,0.00101
52,295.399,1.16882,0.76065,0.91847,0.76631,0.88496,0.91029,0.59283,1.19984,0.75264,0.94137,0.0009902,0.0009902,0.0009902
53,300.718,1.21788,0.75892,0.93203,0.89931,0.88496,0.95178,0.56823,1.2535,0.71856,0.94553,0.0009704,0.0009704,0.0009704
54,306.118,1.1579,0.74524,0.94458,0.93196,0.84853,0.95089,0.60638,1.1405,0.70685,0.93296,0.0009506,0.0009506,0.0009506
55,312.04,1.15689,0.72513,0.9308,0.92068,0.84956,0.95399,0.62015,1.09008,0.68074,0.93382,0.0009308,0.0009308,0.0009308
56,317.967,1.15624,0.70622,0.94563,0.89022,0.84071,0.94335,0.61157,1.0773,0.66172,0.92748,0.000911,0.000911,0.000911
57,323.327,1.17272,0.71363,0.91588,0.88381,0.84071,0.93491,0.61289,1.12416,0.70298,0.93182,0.0008912,0.0008912,0.0008912
